date, price
4/1/2000,70.04 
5/1/2000,65.22 
6/1/2000,62.00 
7/1/2000,63.25 
10/1/2000,63.79 
11/1/2000,65.40 
12/1/2000,64.32 
13/1/2000,63.43 
14/1/2000,62.54 
17/1/2000,63.25 
18/1/2000,66.47 
19/1/2000,65.75 
20/1/2000,65.58 
21/1/2000,65.93 
24/1/2000,66.83 
25/1/2000,67.72 
26/1/2000,70.04 
27/1/2000,72.90 
28/1/2000,73.26 
31/1/2000,69.86 
1/2/2000,70.76 
2/2/2000,72.90 
3/2/2000,73.26 
4/2/2000,73.26 
7/2/2000,73.26 
8/2/2000,75.05 
9/2/2000,77.55 
10/2/2000,80.05 
11/2/2000,86.48 
14/2/2000,81.84 
15/2/2000,77.55 
16/2/2000,77.90 
17/2/2000,76.47 
18/2/2000,74.33 
21/2/2000,72.54 
22/2/2000,71.11 
23/2/2000,74.33 
24/2/2000,76.47 
25/2/2000,74.69 
28/2/2000,71.29 
29/2/2000,74.69 
1/3/2000,72.54 
2/3/2000,72.54 
3/3/2000,72.90 
6/3/2000,76.83 
7/3/2000,79.33 
8/3/2000,78.26 
9/3/2000,76.12 
10/3/2000,78.26 
13/3/2000,76.12 
14/3/2000,73.62 
15/3/2000,73.97 
16/3/2000,72.19 
17/3/2000,75.40 
20/3/2000,74.33 
21/3/2000,77.19 
22/3/2000,80.05 
23/3/2000,82.91 
24/3/2000,81.84 
27/3/2000,83.26 
28/3/2000,85.05 
29/3/2000,85.41 
30/3/2000,83.26 
31/3/2000,83.26 
3/4/2000,78.62 
4/4/2000,78.62 
5/4/2000,74.69 
6/4/2000,75.76 
7/4/2000,76.12 
10/4/2000,76.83 
11/4/2000,75.05 
12/4/2000,73.97 
13/4/2000,72.19 
14/4/2000,70.76 
17/4/2000,63.25 
18/4/2000,64.15 
19/4/2000,63.07 
20/4/2000,62.18 
21/4/2000,62.18 
24/4/2000,62.18 
25/4/2000,61.64 
26/4/2000,61.29 
27/4/2000,63.25 
28/4/2000,66.47 
1/5/2000,66.47 
2/5/2000,66.29 
3/5/2000,65.93 
4/5/2000,62.18 
5/5/2000,61.11 
8/5/2000,59.50 
9/5/2000,59.50 
10/5/2000,56.64 
11/5/2000,56.64 
12/5/2000,59.14 
15/5/2000,58.61 
16/5/2000,59.86 
17/5/2000,57.18 
18/5/2000,52.00 
19/5/2000,52.35 
22/5/2000,52.89 
23/5/2000,52.71 
24/5/2000,51.82 
25/5/2000,52.00 
26/5/2000,50.39 
29/5/2000,50.03 
30/5/2000,50.03 
31/5/2000,50.92 
1/6/2000,53.43 
2/6/2000,55.21 
5/6/2000,56.11 
6/6/2000,56.11 
7/6/2000,55.39 
8/6/2000,55.75 
9/6/2000,57.53 
12/6/2000,57.89 
13/6/2000,56.64 
14/6/2000,58.79 
15/6/2000,60.04 
16/6/2000,62.36 
19/6/2000,62.54 
20/6/2000,61.11 
21/6/2000,62.00 
22/6/2000,61.29 
23/6/2000,60.39 
26/6/2000,61.64 
27/6/2000,62.00 
28/6/2000,62.18 
29/6/2000,60.93 
30/6/2000,61.29 
3/7/2000,62.18 
4/7/2000,63.43 
5/7/2000,64.86 
6/7/2000,65.04 
7/7/2000,65.40 
10/7/2000,66.65 
11/7/2000,66.83 
12/7/2000,68.26 
13/7/2000,66.65 
14/7/2000,68.79 
17/7/2000,68.97 
18/7/2000,67.72 
19/7/2000,67.72 
20/7/2000,70.94 
21/7/2000,72.54 
24/7/2000,71.83 
25/7/2000,69.51 
26/7/2000,69.33 
27/7/2000,67.54 
28/7/2000,67.18 
31/7/2000,65.58 
1/8/2000,65.58 
2/8/2000,67.00 
3/8/2000,67.36 
4/8/2000,68.43 
7/8/2000,69.33 
8/8/2000,68.79 
9/8/2000,68.43 
10/8/2000,68.61 
11/8/2000,68.26 
14/8/2000,68.08 
15/8/2000,69.86 
16/8/2000,72.19 
17/8/2000,73.26 
18/8/2000,71.47 
21/8/2000,71.47 
22/8/2000,72.90 
23/8/2000,73.26 
24/8/2000,73.62 
25/8/2000,72.19 
28/8/2000,70.58 
29/8/2000,71.11 
30/8/2000,71.83 
31/8/2000,72.90 
1/9/2000,73.97 
4/9/2000,75.40 
5/9/2000,74.33 
6/9/2000,73.97 
7/9/2000,72.90 
8/9/2000,72.19 
11/9/2000,71.11 
12/9/2000,69.15 
13/9/2000,69.15 
14/9/2000,69.51 
15/9/2000,68.08 
18/9/2000,65.58 
19/9/2000,67.54 
20/9/2000,66.29 
21/9/2000,65.04 
22/9/2000,63.79 
25/9/2000,65.93 
26/9/2000,65.04 
27/9/2000,65.93 
28/9/2000,66.65 
29/9/2000,67.18 
2/10/2000,67.18 
3/10/2000,66.47 
4/10/2000,67.36 
5/10/2000,68.43 
6/10/2000,68.43 
9/10/2000,66.47 
10/10/2000,65.58 
11/10/2000,65.04 
12/10/2000,65.04 
13/10/2000,63.79 
16/10/2000,63.79 
17/10/2000,63.61 
18/10/2000,61.64 
19/10/2000,62.18 
20/10/2000,64.15 
