date, price
3/4/2018,409.367
4/4/2018,397.568
6/4/2018,405.767
9/4/2018,409.967
10/4/2018,417.166
11/4/2018,419.566
12/4/2018,413.167
13/4/2018,407.967
16/4/2018,402.967
17/4/2018,397.168
18/4/2018,399.968
19/4/2018,405.767
20/4/2018,400.168
23/4/2018,393.968
24/4/2018,396.568
25/4/2018,386.769
26/4/2018,382.169
27/4/2018,388.369
30/4/2018,390.968
2/5/2018,393.368
3/5/2018,384.969
4/5/2018,382.769
7/5/2018,379.969
8/5/2018,390.568
9/5/2018,394.568
10/5/2018,406.167
11/5/2018,408.767
14/5/2018,411.767
15/5/2018,397.968
16/5/2018,396.168
17/5/2018,410.967
18/5/2018,410.967
21/5/2018,407.967
23/5/2018,406.967
24/5/2018,406.967
25/5/2018,403.967
28/5/2018,405.167
29/5/2018,401.967
30/5/2018,394.968
31/5/2018,399.168
1/6/2018,403.967
4/6/2018,414.966
5/6/2018,419.966
6/6/2018,424.966
7/6/2018,429.165
8/6/2018,414.966
11/6/2018,418.966
12/6/2018,417.366
13/6/2018,415.166
14/6/2018,411.967
15/6/2018,409.967
19/6/2018,396.768
20/6/2018,400.168
21/6/2018,396.768
22/6/2018,397.368
25/6/2018,388.769
26/6/2018,385.969
27/6/2018,377.369
28/6/2018,378.969
29/6/2018,393.768
3/7/2018,390.768
4/7/2018,382.969
5/7/2018,385.569
6/7/2018,386.569
9/7/2018,395.968
10/7/2018,386.769
11/7/2018,379.369
12/7/2018,379.969
13/7/2018,380.969
16/7/2018,381.369
17/7/2018,375.77
18/7/2018,377.969
19/7/2018,375.57
20/7/2018,376.569
23/7/2018,370.97
24/7/2018,375.17
25/7/2018,379.769
26/7/2018,374.77
27/7/2018,372.97
30/7/2018,367.17
31/7/2018,355.171
1/8/2018,354.971
2/8/2018,344.972
3/8/2018,349.772
6/8/2018,352.971
7/8/2018,356.971
8/8/2018,363.971
9/8/2018,372.57
10/8/2018,369.97
13/8/2018,360.971
14/8/2018,348.572
15/8/2018,335.973
16/8/2018,325.774
17/8/2018,336.973
20/8/2018,350.772
21/8/2018,350.572
22/8/2018,359.371
23/8/2018,358.971
24/8/2018,353.971
27/8/2018,360.971
28/8/2018,365.37
29/8/2018,360.771
30/8/2018,357.371
31/8/2018,339.972
3/9/2018,332.773
4/9/2018,338.573
5/9/2018,324.774
6/9/2018,314.575
7/9/2018,316.774
10/9/2018,313.575
11/9/2018,307.975
12/9/2018,308.375
13/9/2018,323.774
14/9/2018,329.973
17/9/2018,319.174
18/9/2018,317.974
19/9/2018,321.574
20/9/2018,324.174
21/9/2018,334.373
24/9/2018,327.773
26/9/2018,329.973
27/9/2018,325.374
28/9/2018,323.174
2/10/2018,316.974
3/10/2018,315.974
4/10/2018,308.375
5/10/2018,304.975
8/10/2018,298.976
9/10/2018,293.776
10/10/2018,286.377
11/10/2018,266.978
12/10/2018,288.377
15/10/2018,282.777
16/10/2018,281.377
18/10/2018,280.977
19/10/2018,281.977
22/10/2018,291.176
23/10/2018,277.777
24/10/2018,275.778
25/10/2018,268.978
26/10/2018,259.979
29/10/2018,259.979
30/10/2018,252.18
31/10/2018,266.978
1/11/2018,277.777
2/11/2018,303.575
5/11/2018,292.376
6/11/2018,291.976
7/11/2018,293.376
8/11/2018,293.576
9/11/2018,279.177
12/11/2018,270.578
13/11/2018,274.378
14/11/2018,272.178
15/11/2018,287.977
16/11/2018,290.376
19/11/2018,291.176
20/11/2018,281.577
